bar,bartender,day,start,end,date
Absent Snow,Aaron Mcdaniel,Wednesday,12:00,22:00,2018-01-01
Absent Snow,Aaron Mcdaniel,Tuesday,12:00,22:00,2018-01-09
Absent Snow,Aaron Mcdaniel,Thursday,12:00,23:15,2018-01-11
Absent Snow,Aaron Mcdaniel,Friday,12:00,23:15,2018-01-12
Absent Snow,Aaron Mcdaniel,Saturday,12:00,23:15,2018-01-13
Absent Snow,Aaron Mcdaniel,Sunday,10:00,23:15,2018-01-14
Absent Snow,Aaron Mcdaniel,Monday,10:00,23:15,2018-01-15
Absent Snow,Aaron Mcdaniel,Tuesday,10:00,23:15,2018-01-16
Absent Snow,Aaron Mcdaniel,Wednesday,10:00,23:15,2018-01-17
Absent Snow,Aaron Mcdaniel,Thursday,10:00,23:45,2018-01-18
Absent Snow,Aaron Mcdaniel,Friday,10:00,23:45,2018-01-19
Absent Snow,Aaron Mcdaniel,Saturday,10:00,23:45,2018-01-20
Absent Snow,Aaron Mcdaniel,Sunday,10:00,23:45,2018-01-21
Absent Snow,Aaron Mcdaniel,Monday,10:00,23:45,2018-01-22
Absent Snow,Alicia Johnson,Wednesday,10:00,23:45,2018-01-01
Absent Snow,Alicia Johnson,Tuesday,10:00,23:45,2018-01-09
Absent Snow,Alicia Johnson,Thursday,10:00,23:45,2018-01-11
Absent Snow,Alicia Johnson,Friday,10:00,23:45,2018-01-12
Absent Snow,Alicia Johnson,Saturday,10:00,23:45,2018-01-13
Absent Snow,Alicia Johnson,Sunday,10:00,23:45,2018-01-14
Absent Snow,Alicia Johnson,Monday,10:00,23:45,2018-01-15
Absent Snow,Alicia Johnson,Tuesday,10:00,23:45,2018-01-16
Absent Snow,Alicia Johnson,Wednesday,10:00,23:45,2018-01-17
Absent Snow,Alicia Johnson,Thursday,10:00,23:45,2018-01-18
Absent Snow,Alicia Johnson,Friday,10:00,23:45,2018-01-19
Absent Snow,Alicia Johnson,Saturday,10:00,23:45,2018-01-20
Absent Snow,Alicia Johnson,Sunday,10:00,23:45,2018-01-21
Absent Snow,Alicia Johnson,Monday,10:00,00:00,2018-01-22
Absent Snow,Bertie Rains,Wednesday,10:00,00:00,2018-01-01
Absent Snow,Bertie Rains,Tuesday,10:00,00:00,2018-01-09
Absent Snow,Bertie Rains,Thursday,10:00,00:00,2018-01-11
Absent Snow,Bertie Rains,Friday,10:00,00:00,2018-01-12
Absent Snow,Bertie Rains,Saturday,10:00,00:00,2018-01-13
Absent Snow,Bertie Rains,Sunday,10:00,00:00,2018-01-14
Absent Snow,Bertie Rains,Monday,10:00,00:00,2018-01-15
Absent Snow,Bertie Rains,Tuesday,10:00,00:00,2018-01-16
Absent Snow,Bertie Rains,Wednesday,10:00,00:00,2018-01-17
Absent Snow,Bertie Rains,Thursday,10:00,00:00,2018-01-18
Absent Snow,Bertie Rains,Friday,10:00,00:00,2018-01-19
Absent Snow,Bertie Rains,Saturday,10:00,00:00,2018-01-20
Absent Snow,Bertie Rains,Sunday,10:00,00:00,2018-01-21
Absent Snow,Bertie Rains,Monday,10:00,00:00,2018-01-22
Absent Snow,Beverly Schnarr,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Beverly Schnarr,Tuesday,09:00,00:00,2018-01-09
Absent Snow,Beverly Schnarr,Thursday,09:00,00:00,2018-01-11
Absent Snow,Beverly Schnarr,Friday,09:00,00:00,2018-01-12
Absent Snow,Beverly Schnarr,Saturday,09:00,00:00,2018-01-13
Absent Snow,Beverly Schnarr,Sunday,09:00,00:00,2018-01-14
Absent Snow,Beverly Schnarr,Monday,09:00,00:00,2018-01-15
Absent Snow,Beverly Schnarr,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Beverly Schnarr,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Beverly Schnarr,Thursday,09:00,00:00,2018-01-18
Absent Snow,Beverly Schnarr,Friday,09:00,00:00,2018-01-19
Absent Snow,Beverly Schnarr,Saturday,09:00,00:00,2018-01-20
Absent Snow,Beverly Schnarr,Sunday,09:00,00:00,2018-01-21
Absent Snow,Beverly Schnarr,Monday,09:00,00:00,2018-01-22
Absent Snow,Bobbie Truax,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Bobbie Truax,Thursday,09:00,00:00,2018-01-11
Absent Snow,Bobbie Truax,Friday,09:00,00:00,2018-01-12
Absent Snow,Bobbie Truax,Saturday,09:00,00:00,2018-01-13
Absent Snow,Bobbie Truax,Sunday,09:00,00:00,2018-01-14
Absent Snow,Bobbie Truax,Monday,09:00,00:00,2018-01-15
Absent Snow,Bobbie Truax,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Bobbie Truax,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Bobbie Truax,Thursday,09:00,00:00,2018-01-18
Absent Snow,Bobbie Truax,Friday,09:00,00:00,2018-01-19
Absent Snow,Bobbie Truax,Sunday,09:00,00:00,2018-01-21
Absent Snow,Bobbie Truax,Monday,09:00,00:00,2018-01-22
Absent Snow,Brandon Campbell,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Brandon Campbell,Tuesday,09:00,00:00,2018-01-09
Absent Snow,Brandon Campbell,Thursday,09:00,00:00,2018-01-11
Absent Snow,Brandon Campbell,Friday,09:00,00:00,2018-01-12
Absent Snow,Brandon Campbell,Saturday,09:00,00:00,2018-01-13
Absent Snow,Brandon Campbell,Sunday,09:00,00:00,2018-01-14
Absent Snow,Brandon Campbell,Monday,09:00,00:00,2018-01-15
Absent Snow,Brandon Campbell,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Brandon Campbell,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Brandon Campbell,Thursday,09:00,00:00,2018-01-18
Absent Snow,Brandon Campbell,Friday,09:00,00:00,2018-01-19
Absent Snow,Brandon Campbell,Saturday,09:00,00:00,2018-01-20
Absent Snow,Brandon Campbell,Sunday,09:00,00:00,2018-01-21
Absent Snow,Brandon Campbell,Monday,09:00,00:00,2018-01-22
Absent Snow,Brian Hill,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Brian Hill,Tuesday,09:00,00:00,2018-01-09
Absent Snow,Brian Hill,Thursday,09:00,00:00,2018-01-11
Absent Snow,Brian Hill,Friday,09:00,00:00,2018-01-12
Absent Snow,Brian Hill,Saturday,09:00,00:00,2018-01-13
Absent Snow,Brian Hill,Sunday,09:00,00:00,2018-01-14
Absent Snow,Brian Hill,Monday,09:00,00:00,2018-01-15
Absent Snow,Brian Hill,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Brian Hill,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Brian Hill,Thursday,09:00,00:00,2018-01-18
Absent Snow,Brian Hill,Friday,09:00,00:00,2018-01-19
Absent Snow,Brian Hill,Saturday,09:00,00:00,2018-01-20
Absent Snow,Brian Hill,Sunday,09:00,00:00,2018-01-21
Absent Snow,Brian Hill,Monday,09:00,00:00,2018-01-22
Absent Snow,Carolyn Norman,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Carolyn Norman,Tuesday,09:00,00:00,2018-01-09
Absent Snow,Carolyn Norman,Thursday,09:00,00:00,2018-01-11
Absent Snow,Carolyn Norman,Friday,09:00,00:00,2018-01-12
Absent Snow,Carolyn Norman,Saturday,09:00,00:00,2018-01-13
Absent Snow,Carolyn Norman,Sunday,09:00,00:00,2018-01-14
Absent Snow,Carolyn Norman,Monday,09:00,00:00,2018-01-15
Absent Snow,Carolyn Norman,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Carolyn Norman,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Carolyn Norman,Thursday,09:00,00:00,2018-01-18
Absent Snow,Carolyn Norman,Friday,09:00,00:00,2018-01-19
Absent Snow,Carolyn Norman,Saturday,09:00,00:00,2018-01-20
Absent Snow,Carolyn Norman,Sunday,09:00,00:00,2018-01-21
Absent Snow,Carolyn Norman,Monday,09:00,00:00,2018-01-22
Absent Snow,Cruz Brelsford,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Cruz Brelsford,Tuesday,09:00,00:00,2018-01-09
Absent Snow,Cruz Brelsford,Thursday,09:00,00:00,2018-01-11
